FileName,OutOfASCII,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space, # of Word, % of Word, Readable, RatioOfNum, RatioOfEng, RatioOfSpcChar, MaxCharNumPerLine, DistDegree 
obf_CKVIP_2_170324LhYeYd.js,0,9398,1,9398.0,0.0,0.00,0,0,0,0.0,0.0,100.0,9398,4699.0
jquery.js,0,25126,0,0,279.0,1.20,0,0,0,1.3,43.4,16.7,15728,292.16279069767444
170113_soilove_3_swfobject.js,0,37403,347,107.8,100.0,5.00,0,0,0,0.4,20.3,5.7,244,415.5888888888889
170308_lime_2_GtOdBm.js,0,52924,143,370.1,44.0,3.00,0,0,0,6.5,15.2,4.3,11813,569.0752688172043
170113_chyang2_2_BnKdWu.js,0,65125,3,21708.3,21.0,0.10,0,0,0,5.1,10.6,2.9,12151,715.6593406593406
170119_joongohwamoolcha_2_YrGaEs.js,0,75862,3,25287.3,7.0,0.10,0,0,0,2.2,9.3,2.5,10636,824.5869565217391
obf_CKVIP170120.js,0,86082,2,43041.0,6.0,0.10,0,0,0,3.3,6.2,2.2,10179,945.9560439560439
170113_soilove_index.js,0,95093,4,23773.2,10.0,0.10,0,0,0,2.8,4.7,1.9,8912,1044.978021978022
170308_lime_l.js,0,105411,4,26352.8,8.0,0.10,0,0,0,2.7,5.1,1.8,10219,1158.3626373626373
170328_ithefood_n2s.js,0,115110,4,28777.5,11.0,0.10,0,0,0,2.4,4.3,1.7,9509,1264.9450549450548
170113_chyang2_2_KkAbSo.js,0,125827,3,41942.3,7.0,0.10,0,0,0,1.4,5.6,1.5,10616,1367.6847826086957
obf_CKVIP170113BnKdWu.js,0,141684,145,977.1,44.0,1.10,0,0,0,2.5,5.9,1.6,12151,1523.483870967742
170328_ithefood_2_WzGcQy.js,0,180073,92,1957.3,41.0,0.60,0,0,0,4.8,13.9,1.9,36057,1957.3152173913043
170119_joongohwamoolcha_adpop.js,0,190399,4,47599.8,8.0,0.00,0,0,0,1.5,2.8,1.0,10227,2092.296703296703
170119_joongohwamoolcha_2_ReJhBz.js,0,205487,143,1437.0,44.0,0.80,0,0,0,1.6,3.8,1.1,11380,2209.537634408602
1700303_djichr_2_IaVsPy.js,0,220806,135,1635.6,42.0,0.70,0,0,0,1.6,3.6,1.0,11801,2374.2580645161293
obf_CKVIP170113RxXmVp.js,0,234019,148,1581.2,63.0,1.10,0,0,0,1.2,2.0,1.3,7384,2516.3333333333335
170113_chyang2_3_swfobject.js,0,246296,347,709.8,100.0,0.80,0,0,0,0.1,3.1,0.9,244,2736.6222222222223
170113_soilove_2_HrNxWq.js,0,256568,3,85522.7,7.0,0.00,0,0,0,0.6,2.6,0.7,10171,2788.782608695652
obf_CKVIP170317.js,0,266167,3,88722.3,8.0,0.00,0,0,0,1.0,1.8,0.7,9501,2957.411111111111
1700303_djichr_2_SxUqLb.js,0,276892,3,92297.3,7.0,0.00,0,0,0,0.6,2.5,0.7,10624,3009.695652173913
1700303_djichr_adpop.js,0,287198,4,71799.5,8.0,0.00,0,0,0,1.0,1.9,0.7,10207,3156.021978021978
obf_CKVIP170113.js,0,296208,3,98736.0,10.0,0.00,0,0,0,0.9,1.5,0.6,8912,3255.032967032967
170113_chyang2_adpop.js,0,306493,3,102164.3,8.0,0.00,0,0,0,0.9,1.8,0.6,10187,3368.054945054945
obf_CKVIP.js,0,316778,3,105592.7,8.0,0.00,0,0,0,0.9,1.7,0.6,10187,3481.076923076923
170303_djichc_3_swfobject.js,0,329055,347,948.3,100.0,0.60,0,0,0,0.0,2.3,0.6,244,3656.1666666666665
170113_soilove_2_AeQnTo.js,0,340547,5,68109.4,30.0,0.00,0,0,0,1.0,1.9,0.5,11471,3742.2747252747254
170308_lime_NfCnMn.js,0,351280,3,117093.3,7.0,0.00,0,0,0,0.5,2.0,0.5,10632,3818.2608695652175
170119_joongohwamoolcha_3_swfobject.js,0,363557,347,1047.7,100.0,0.50,0,0,0,0.0,2.1,0.6,244,4039.5222222222224
170328_ithefood_2_CmDvBz.js,0,374277,3,124759.0,7.0,0.00,0,0,0,0.5,1.9,0.5,10619,4068.228260869565
obf_CKVIP170324RcUx.js,0,385001,3,128333.7,7.0,0.00,0,0,0,0.4,1.8,0.5,10623,4184.79347826087
