file_name,cluster
170113_chyang2_2_BnKdWu.js,1
1700303_djichr_adpop.js,1
170113_chyang2_adpop.js,1
obf_CKVIP170317.js,1
170119_joongohwamoolcha_2_ReJhBz.js,1
170308_lime_l.js,3
obf_CKVIP170120.js,3
170308_lime_NfCnMn.js,3
1700303_djichr_2_SxUqLb.js,3
obf_CKVIP170113RxXmVp.js,3
170113_chyang2_3_swfobject.js,3
170328_ithefood_2_CmDvBz.js,3
170328_ithefood_2_WzGcQy.js,2
170119_joongohwamoolcha_adpop.js,2
170113_soilove_2_HrNxWq.js,2
obf_CKVIP.js,2
170119_joongohwamoolcha_3_swfobject.js,2
170303_djichc_3_swfobject.js,4
obf_CKVIP_2_170324LhYeYd.js,4
1700303_djichr_2_IaVsPy.js,4
170119_joongohwamoolcha_2_YrGaEs.js,4
170113_chyang2_2_KkAbSo.js,4
170308_lime_2_GtOdBm.js,4
170113_soilove_3_swfobject.js,0
obf_CKVIP170113.js,0
170113_soilove_index.js,0
jquery.js,0
obf_CKVIP170324RcUx.js,0
170328_ithefood_n2s.js,0
170113_soilove_2_AeQnTo.js,0
obf_CKVIP170113BnKdWu.js,0
